# Birth and death dates of famous composers.
# Adapted from: http://www.classical.net/music/composer/dates/comp3.php
# Dates in Month/Day/Year or Year format.
# Tab-separated fields.
# Birth	Death	Name
1/20/1586	11/19/1630	SCHEIN, Johann Hermann
5/11/1791	11/19/1825	VORISEK, Jan Vaclav Hugo
1/31/1797	11/19/1828	SCHUBERT, Franz Peter
1460	11/20/1518	LA RUE, Pierre de
10/26/1694	11/20/1758	ROMAN, Johan Helmich
11/28/1829	11/20/1894	RUBINSTEIN, Anton
2/07/1871	11/20/1927	STENHAMMAR, Wilhelm
7/23/1866	11/20/1950	CILEA, Francesco
1659	11/21/1695	PURCELL, Henry
12/07/1637	11/21/1710	PASQUINI, Bernardo
2/13/1870	11/21/1938	GODOWSKY, Leopold
5/13/1842	11/22/1900	SULLIVAN, Sir Arthur Seymour
6/15/1864	11/22/1955	ROPARTZ, Joseph Guy Marie
1505	11/23/1585	TALLIS, Thomas
4/23/1623	11/24/1722	REINCKEN, Jan Adam
1565	11/25/1640	FARNABY, Giles
12/26/1678	11/25/1755	PISENDEL, Johann Georg
2/20/1745	11/25/1815	SALOMAN, Johann Peter
3/17/1839	11/25/1901	RHEINBERGER, Josef Gabriel
12/23/1709	11/26/1778	HAMAL, Jean-Noel
6/06/1807	11/26/1866	SERVAIS, Adrien-François
1/13/1690	11/27/1749	STOLZEL, Gottfried Heinrich
3/10/1892	11/27/1955	HONEGGER, Arthur Oscar
1/29/1876	11/28/1972	BRIAN, Havergal
5/15/1567	11/29/1643	MONTEVERDI, Claudio Giovanni Antonio
12/22/1858	11/29/1924	PUCCINI, Giacomo
5/29/1897	11/29/1957	KORNGOLD, Erich Wolfgang
1/25/1886	11/30/1954	FÜRTWANGLER, Wilhelm
1/22/1901	11/30/1972	APOSTEL, Hans Erich
1674	12/01/1707	CLARKE, Jeremiah
8/12/1696	12/01/1755	GREENE, Maurice
9/30/1752	12/01/1817	KNECHTL, Justin Heinrich
12/31/1894	12/01/1950	MOERAN, Ernest John
1/04/1720	12/02/1774	AGRICOLA, Johann Friedrich
3/27/1851	12/02/1931	D'INDY, Paul-Marie-Theodore-Vincent
11/14/1900	12/02/1990	COPLAND, Aaron
2/21/1801	12/03/1866	KALLIWODA, Johann Wenzel
12/07/1840	12/03/1876	GOETZ, Hermann
1/11/1856	12/03/1941	SINDING, Johann Christian
5/11/1895	12/03/1978	STILL, William Grant
3/15/1864	12/04/1935	HALVORSEN, Johan
11/20/1873	12/04/1953	MASON, Daniel Gregory
11/22/1913	12/04/1976	BRITTEN, Lord Benjamin
4/15/1688	12/05/1758	FASCH, Johann Friedrich
1/27/1756	12/05/1791	MOZART, Johannes Chrysostomus Wolfgangus Theophilus
12/21/1810	12/07/1834	SCHUNCKE, Ludwig
1/06/1850	12/08/1924	SCHARWENKA, Franz Xaver
4/25/1690	12/09/1770	MUFFAT, Gottlieb Theophil
1594	12/10/1665	MERCULA, Tarquinio
3/08/1714	12/14/1788	BACH, Carl Philipp Emanuel
11/22/1780	12/14/1849	KREUTZER, Conradin
8/16/1795	12/14/1861	MARSCHNER, Heinrich August
6/20/1756	12/15/1792	KRAUS, Joseph Martin
3/25/1699	12/16/1783	HASSE, Johann Adolph
5/02/1752	12/16/1790	LEBRUN, Ludwig August
10/09/1835	12/16/1921	SAINT-SAENS, Charles-Camille
9/17/1795	12/17/1870	MERCADANTE, Giuseppe Saverio Raffaele
10/30/1894	12/17/1930	WARLOCK, Peter
5/08/1829	12/18/1869	GOTTSCHALK, Louis Moreau
9/15/1863	12/18/1919	PARKER, Horatio William
6/11/1672	12/19/1748	BONPORTI, Francesco Antonio
4/11/1682	12/20/1738	MOURET, Jean-Joseph
12/03/1729	12/20/1783	SOLER, Padre Antonio Francisco Javier Jose
7/13/1909	12/20/1963	CONSTANTINESCU, Paul
2/22/1817	12/21/1890	GADE, Niels Wilhelm
10/16/1679	12/22/1745	ZELENKA, Jan Dismas
2/09/1885	12/24/1935	BERG, Alban
6/29/1911	12/24/1975	HERRMANN, Bernard
6/28/1852	12/25/1921	HUBER, Hans
1670	12/26/1736	CALDARA, Antonio
9/05/1867	12/27/1944	BEACH, Amy Marcy Cheney
3/15/1835	12/28/1916	STRAUSS, Eduard
3/07/1875	12/28/1937	RAVEL, Joseph Maurice
11/16/1895	12/28/1963	HINDEMITH, Paul
1746	12/29/1825	CAMBINI, Giuseppe Maria Gioachino
7/05/1775	12/29/1847	CROTCH, William
6/28/1902	12/30/1979	RODGERS, Richard
1575	12/31/1647	TRABACI, Giovanni Maria
